id,kind,file,line
app.llm.providers.gemini.search_grounded,function,app/llm/providers/gemini.py,394
app.llm.providers.gemini.stream_sync,function,app/llm/providers/gemini.py,284
app.llm.providers.get_provider,function,app/llm/providers/__init__.py,52
app.llm.providers.list_providers,function,app/llm/providers/__init__.py,60
app.llm.providers.openai,module,app/llm/providers/openai.py,0
app.llm.providers.openai.OpenAIProvider,class,app/llm/providers/openai.py,90
app.llm.providers.openai.__init__,function,app/llm/providers/openai.py,105
app.llm.providers.openai._filter_extra_params,function,app/llm/providers/openai.py,45
app.llm.providers.openai._has_fixed_temperature,function,app/llm/providers/openai.py,85
app.llm.providers.openai._uses_max_completion_tokens,function,app/llm/providers/openai.py,80
app.llm.providers.openai.create_openai_provider,function,app/llm/providers/openai.py,424
app.llm.providers.openai.generate,function,app/llm/providers/openai.py,146
app.llm.providers.openai.generate_image,function,app/llm/providers/openai.py,329
app.llm.providers.openai.generate_stream,function,app/llm/providers/openai.py,278
app.llm.providers.openai.health_check,function,app/llm/providers/openai.py,404
app.llm.providers.openrouter,module,app/llm/providers/openrouter.py,0
app.llm.providers.openrouter.OpenRouterProvider,class,app/llm/providers/openrouter.py,47
app.llm.providers.openrouter.__init__,function,app/llm/providers/openrouter.py,62
app.llm.providers.openrouter._normalize_model,function,app/llm/providers/openrouter.py,101
app.llm.providers.openrouter.create_openrouter_provider,function,app/llm/providers/openrouter.py,305
app.llm.providers.openrouter.generate,function,app/llm/providers/openrouter.py,107
app.llm.providers.openrouter.generate_stream,function,app/llm/providers/openrouter.py,237
app.llm.providers.openrouter.health_check,function,app/llm/providers/openrouter.py,285
app.llm.providers.register_provider,function,app/llm/providers/__init__.py,39
app.llm.router,module,app/llm/router.py,0
app.llm.router.Router,class,app/llm/router.py,15
app.llm.router.__init__,function,app/llm/router.py,26
app.llm.router.get_fallback_chain,function,app/llm/router.py,174
app.llm.router.get_rule,function,app/llm/router.py,187
app.llm.router.resolve,function,app/llm/router.py,35
app.llm.router.resolve_async,function,app/llm/router.py,95
app.logging_http,module,app/logging_http.py,0
app.logging_http.HttpLogHandler,class,app/logging_http.py,16
app.logging_http.__init__,function,app/logging_http.py,30
app.logging_http._flush,function,app/logging_http.py,115
app.logging_http._flush_loop,function,app/logging_http.py,148
app.logging_http._format_entry,function,app/logging_http.py,78
app.logging_http._shutdown,function,app/logging_http.py,155
app.logging_http.create_http_handler,function,app/logging_http.py,162
app.logging_http.emit,function,app/logging_http.py,58
app.lua_scripts,module,app/lua_scripts.py,0
app.lua_scripts.LuaScriptManager,class,app/lua_scripts.py,116
app.lua_scripts.__init__,function,app/lua_scripts.py,124
app.lua_scripts.clear_cache,function,app/lua_scripts.py,184
app.lua_scripts.execute,function,app/lua_scripts.py,146
app.lua_scripts.get_script_manager,function,app/lua_scripts.py,193
app.lua_scripts.register_script,function,app/lua_scripts.py,128
app.main,module,app/main.py,0
app.main.CorrelationFilter,class,app/main.py,261
app.main.StructuredFormatter,class,app/main.py,147
app.main.TextFormatter,class,app/main.py,230
app.main.claude_api_error_handler,function,app/main.py,459
app.main.claude_validation_error_handler,function,app/main.py,439
app.main.configure_logging,function,app/main.py,277
app.main.create_app,function,app/main.py,399
app.main.filter,function,app/main.py,269
app.main.format,function,app/main.py,237
app.main.general_exception_handler,function,app/main.py,474
app.main.init_sentry,function,app/main.py,36
app.main.lifespan,function,app/main.py,335
app.main.rate_limit_error_handler,function,app/main.py,447
app.main.root,function,app/main.py,516
app.main.sanitize_breadcrumb,function,app/main.py,117
app.main.sanitize_event,function,app/main.py,101
app.main.value_error_handler,function,app/main.py,467
app.middleware,module,app/middleware/__init__.py,0
app.middleware.llm_tracking,module,app/middleware/llm_tracking.py,0
app.middleware.llm_tracking._extract_cost,function,app/middleware/llm_tracking.py,245
app.middleware.llm_tracking._extract_model,function,app/middleware/llm_tracking.py,205
app.middleware.llm_tracking._extract_response,function,app/middleware/llm_tracking.py,214
app.middleware.llm_tracking._extract_tokens,function,app/middleware/llm_tracking.py,229
app.middleware.llm_tracking.decorator,function,app/middleware/llm_tracking.py,60
app.middleware.llm_tracking.track_llm_call,function,app/middleware/llm_tracking.py,33
app.middleware.llm_tracking.wrapper,function,app/middleware/llm_tracking.py,62
app.middleware.tracing,module,app/middleware/tracing.py,0
